Total elements,Name,Total Swaps, Total Comparisions,Log10
100,SimpleBubbleSort,2667,9900,3.99563519459755
,BubbleSort,2667,4884,3.68877565527285
,InsertionSort,0,2668,3.42618582524451
,selectionSort,100,4950,3.69460519893357
250,SimpleBubbleSort,15386,62250,4.79413935576777
,BubbleSort,15386,30530,4.48472680429866
,InsertionSort,0,15387,4.18715395378542
,selectionSort,250,31125,4.49310936010379
500,SimpleBubbleSort,62656,249500,5.39707054995941
,BubbleSort,62656,124519,5.09523562424766
,InsertionSort,0,62657,4.79696959714262
,selectionSort,500,124750,5.09604055429543
1000,SimpleBubbleSort,247954,999000,5.99956548822598
,BubbleSort,247954,499035,5.69813100609196
,InsertionSort,0,247955,5.39437287024163
,selectionSort,1000,499500,5.698535492562
10000,SimpleBubbleSort,25416579,99990000,7.99995656838019
,BubbleSort,25416579,49990344,7.69888612528605
,InsertionSort,0,25416580,7.40511711242365
,selectionSort,10000,49995000,7.69892657271621
